Archetype,Scientific Name (from Species) 2,Overall Sustainability Score,GHG Emissions - kg CO2 equivalent per kg,Edible Portion,Mercury Content,Quintile - U.S. Retail Sales (2019),Foodservice menu prominence -2019,Import Value to U.S. (Total 2018-2019),Aquaculture?,Carnivorous?,Current Companies - Plant-Based,Current Companies - Cultivated,Greenhouse Gas Emissions by Paper 2,Archetype (from Greenhouse Gas Emissions by Paper 2),Status,"Mercury Concentration, Mean (PPM)"
Croaker Atlantic (Atlantic),,,,,,,,,,,,,,,,0.069
Croaker White (Pacific),,,,,,,,,,,,,,,,0.287
Flatfish,,,,,,,,,,,,,,,,0.056
Grouper (All Species),,,,,,,,,,,,,,,,0.448
Haddock (Atlantic),,,,,,,,,,,,,,,,0.055
Halibut,,,,,,,,,,,,,,,,0.241
Jacksmelt,,,,,,,,,,,,,,,,0.081
Lobster (Northern / American),,,,,,,,,,,,,,,,0.107
Lobster (Species Unknown),,,,,,,,,,,,,,,,0.166
Lobster (Spiny),,,,,,,,,,,,,,,,0.093
Mackerel Atlantic (N.Atlantic),,,,,,,,,,,,,,,,0.05
Mackerel Chub (Pacific),,,,,,,,,,,,,,,,0.088
Mackerel King,,,,,,,,,,,,,,,,0.73
Mackerel Spanish (Gulf Of Mexico),,,,,,,,,,,,,,,,0.454
Mackerel Spanish (S. Atlantic),,,,,,,,,,,,,,,,0.182
Mahi Mahi,,,,,,,,,,,,,,,,0.178
Marlin,,,,,,,,,,,,,,,,0.485
Oyster,,,,,,,,,,,,,,,,0.012
Perch (Freshwater),,,,,,,,,,,,,,,,0.15
Perch Ocean,,,,,,,,,,,,,,,,0.121
Pickerel,,,,,,,,,,,,,,,,0.095
Salmon (Canned),,,,,,,,,,,,,,,,0.014
Salmon (Fresh/Frozen),,,,,,,,,,,,,,,,0.022
Scallop,,,,,,,,,,,,,,,,0.003
Shad,,,,,,,,,,,,,,,,0.038
Sheepshead,,,,,,,,,,,,,,,,0.09
Shrimp,,,,,,,,,,,,,,,,0.009
Skate,,,,,,,,,,,,,,,,0.137
Swordfish,,,,,,,,,,,,,,,,0.995
Tilefish (Atlantic),,,,,,,,,,,,,,,,0.144
Tilefish (Gulf Of Mexico),,,,,,,,,,,,,,,,1.123
Trout (Freshwater),,,,,,,,,,,,,,,,0.071
"Tuna (Canned, Albacore)",,,,,,,,,,,,,,,,0.35
"Tuna (Canned, Light)",,,,,,,,,,,,,,,,0.126
"Tuna (Fresh/Frozen, Albacore)",,,,,,,,,,,,,,,,0.358
"Tuna (Fresh/Frozen, All)",,,,,,,,,,,,,,,,0.386
"Tuna (Fresh/Frozen, Bigeye)",,,,,,,,,,,,,,,,0.689
"Tuna (Fresh/Frozen, Skipjack)",,,,,,,,,,,,,,,,0.144
"Tuna (Fresh/Frozen, Species Unknown)",,,,,,,,,,,,,,,,0.41
"Tuna (Fresh/Frozen, Yellowfin)",,,,,,,,,,,,,,,,0.354
Weakfish (Sea Trout),,,,,,,,,,,,,,,,0.235
Whitefish,,,,,,,,,,,,,,,,0.089
Snail,,,,,,,,,,,,,,,,
Sea Bream,,,,,,,,,,,,,,,,
Bass (Sea),,,,,,,,,,,,,,,,
Milkfish,,,,,,,,,,,,,,,,
